address,appraisal,appraisal_old,assessment_new,assessment_old,appraisal_year1,assessment_year1,appraisal_year2,assessment_year2
24 AMOS ST,347700,251100,243389.99999999997,175770,275250,192675,299400,209580
40 AMOS ST,312000,206000,218400,144200,232500,162750,259000,181300
22 ANDOVER RD,345200,237800,241639.99999999997,166460,264650,185255,291500,204050
23 ANDOVER RD,349900,253100,244929.99999999997,177170,277300,194110,301500,211050
32 ANDOVER RD,329700,237300,230789.99999999997,166110,260400,182280,283500,198450
35 ANDOVER RD,352400,218200,246679.99999999997,152740,251750,176225,285300,199710
44 ANDOVER RD,314400,210900,220080,147630,236775,165742.5,262650,183855
47 ANDOVER RD,343700,221700,240589.99999999997,155190,252200,176540,282700,197890
56 ANDOVER RD,353300,216900,247309.99999999997,151830,251000,175700,285100,199570
61 ANDOVER RD,358400,242600,250879.99999999997,169820,271550,190085,300500,210350
68 ANDOVER RD,362800,247600,253959.99999999997,173320,276400,193480,305200,213640
73 ANDOVER RD,372100,254300,260469.99999999997,178010,283750,198625,313200,219240
80 ANDOVER RD,330200,228100,231139.99999999997,159670,253625,177537.5,279150,195405
85 ANDOVER RD,389900,270800,272930,189560,300575,210402.5,330350,231244.99999999997
90 ANDOVER RD,412600,284100,288820,198870,316225,221357.5,348350,243844.99999999997
ANDREW ST,4700,5200,3290,3639.9999999999995,5075,3552.5,4950,3465
20 ANDREW ST,438500,320800,306950,224560,350225,245157.49999999997,379650,265755
27 ANDREW ST,414100,294300,289870,206010,324250,226975,354200,247939.99999999997
32 ANDREW ST,415800,262000,291060,183400,300450,210315,338900,237229.99999999997
35 ANDREW ST,427900,325400,299530,227780,351025,245717.49999999997,376650,263655
7 ANNS FARM RD,368700,237800,258089.99999999997,166460,270525,189367.5,303250,212275
17 ANNS FARM RD,391600,219800,274120,153860,262750,183925,305700,213990
18 ANNS FARM RD,370200,217700,259139.99999999997,152390,255825,179077.5,293950,205765
27 ANNS FARM RD,357000,222700,249899.99999999997,155890,256275,179392.5,289850,202895
28 ANNS FARM RD,437100,296300,305970,207410,331500,232049.99999999997,366700,256689.99999999997
39 ANNS FARM RD,395500,250800,276850,175560,286975,200882.5,323150,226205
40 ANNS FARM RD,360700,227500,252489.99999999997,159250,260800,182560,294100,205870
49 ANNS FARM RD,423600,271200,296520,189840,309300,216510,347400,243179.99999999997
50 ANNS FARM RD,367900,230300,257529.99999999997,161210,264700,185290,299100,209370
59 ANNS FARM RD,362400,232400,253679.99999999997,162680,264900,185430,297400,208180
60 ANNS FARM RD,370400,239900,259279.99999999997,167930,272525,190767.5,305150,213605
69 ANNS FARM RD,358500,235600,250949.99999999997,164920,266325,186427.5,297050,207935
70 ANNS FARM RD,350500,228800,245349.99999999997,160160,259225,181457.5,289650,202755
86 ANNS FARM RD,377300,234700,264110,164290,270350,189245,306000,214200
90 ANNS FARM RD,368400,223800,257879.99999999997,156660,259950,181965,296100,207270
91 ANNS FARM RD,351800,211400,246259.99999999997,147980,246500,172550,281600,197120
100 ANNS FARM RD,405900,240900,284130,168630,282150,197505,323400,226380
101 ANNS FARM RD,376300,230300,263410,161210,266800,186760,303300,212310
110 ANNS FARM RD,368400,223800,257879.99999999997,156660,259950,181965,296100,207270
111 ANNS FARM RD,343600,211000,240519.99999999997,147700,244150,170905,277300,194110
120 ANNS FARM RD,362200,221100,253539.99999999997,154770,256375,179462.5,291650,204155
121 ANNS FARM RD,379200,236300,265440,165410,272025,190417.5,307750,215425
130 ANNS FARM RD,354100,219400,247869.99999999997,153580,253075,177152.5,286750,200725
131 ANNS FARM RD,321400,198100,224980,138670,228925,160247.5,259750,181825
140 ANNS FARM RD,410600,234400,287420,164080,278450,194915,322500,225750
141 ANNS FARM RD,348000,213300,243599.99999999997,149310,246975,172882.5,280650,196455
168 ANNS FARM RD,374900,225700,262430,157990,263000,184100,300300,210210
169 ANNS FARM RD,321200,197000,224840,137900,228050,159635,259100,181370
178 ANNS FARM RD,412700,244700,288890,171290,286700,200690,328700,230089.99999999997
179 ANNS FARM RD,375000,232500,262500,162750,268125,187687.5,303750,212625
188 ANNS FARM RD,371200,228200,259839.99999999997,159740,263950,184765,299700,209790
189 ANNS FARM RD,385700,242000,269990,169400,277925,194547.5,313850,219695
198 ANNS FARM RD,367200,234400,257039.99999999997,164080,267600,187320,300800,210560
199 ANNS FARM RD,423400,247900,296380,173530,291775,204242.5,335650,234954.99999999997
208 ANNS FARM RD,347200,216500,243039.99999999997,151550,249175,174422.5,281850,197295
209 ANNS FARM RD,340900,208000,238629.99999999997,145600,241225,168857.5,274450,192115
216 ANNS FARM RD,354600,217400,248219.99999999997,152180,251700,176190,286000,200200
224 ANNS FARM RD,318500,205500,222950,143850,233750,163625,262000,183400
232 ANNS FARM RD,330300,208800,231209.99999999997,146160,239175,167422.5,269550,188685
240 ANNS FARM RD,270000,190600,189000,133420,210450,147315,230300,161210
241 ANNS FARM RD,333700,204200,233589.99999999997,142940,236575,165602.5,268950,188265
248 ANNS FARM RD,358200,210300,250739.99999999997,147210,247275,173092.5,284250,198975
249 ANNS FARM RD,355800,212300,249059.99999999997,148610,248175,173722.5,284050,198835
256 ANNS FARM RD,325300,200800,227710,140560,231925,162347.5,263050,184135
257 ANNS FARM RD,350000,217900,244999.99999999997,152530,250925,175647.5,283950,198765
264 ANNS FARM RD,398000,247300,278600,173110,284975,199482.5,322650,225855
265 ANNS FARM RD,354400,206600,248079.99999999997,144620,243550,170485,280500,196350
272 ANNS FARM RD,354100,224000,247869.99999999997,156800,256525,179567.5,289050,202335
273 ANNS FARM RD,374800,234500,262360,164150,269575,188702.5,304650,213255
4 APPLE TREE LA,313600,217800,219520,152460,241750,169225,265700,185990
16 APPLE TREE LA,313000,219800,219100,153860,243100,170170,266400,186480
19 APPLE TREE LA,352800,240500,246959.99999999997,168350,268575,188002.5,296650,207655
28 APPLE TREE LA,319600,219200,223720,153440,244300,171010,269400,188580
