address,polling_place,house_num_low,house_num_high,district
Exeter Rd,West Woods School,1,999999,9
Fairview Ave,Keefe Community Center,1,999999,3
Fallon Dr,Dunbar Hill School,1,999999,7
Fans Rock Rd,Bear Path School,2,324,8
Fans Rock Rd,West Woods School,1,239,9
Farm Brook Ct,Bear Path School,1,999999,8
Farmington Dr,West Woods School,1,999999,9
Farnsworth St,Board Of Education Building,1,999999,5
Farrell St,Miller Library,1,999999,1
Fawn Ridge Dr,Dunbar Hill School,1,999999,7
Federal St,Dunbar Hill School,1,999999,7
Fennbrook Dr,Ridge Hill School,1,999999,6
Fenway Dr,Ridge Hill School,1,999999,6
Ferguson Rd,Miller Library,1,999999,1
Fern St,Board Of Education Building,1,999999,5
Fernwood Rd,Ridge Hill School,1,999999,6
Field Crest Ln,Dunbar Hill School,1,999999,7
Field View Ln,Dunbar Hill School,1,999999,7
Filbert St,Spring Glen School,1,999999,4
First St,Keefe Community Center,1,999999,3
Fitch St,Keefe Community Center,599,999999,3
Flower Dr,Miller Library,1,999999,1
Foote St,Ridge Hill School,1,999999,6
Ford St,Ridge Hill School,58,999999,6
Ford St,Ridge Hill School,2,56,6
Ford St,Spring Glen School,1,57,4
Forest Court N,Spring Glen School,1,999999,4
Forest Court S,Spring Glen School,1,999999,4
Forest St,Miller Library,1,129,1
Forest St,Spring Glen School,130,999998,4
Forest St,Miller Library,131,999999,1
Four Rod Rd,Bear Path School,1,18,8
Four Rod Rd,Bear Path School,20,999998,8
Four Rod Rd,Bear Path School,19,999999,8
Fourth St,Keefe Community Center,1,999999,3
Francis Ave,Board Of Education Building,2,999998,5
Francis Ave,Board Of Education Building,1,999999,5
Franklin Rd,Ridge Hill School,1,999999,6
Frazier Rd,West Woods School,1,999999,9
Frederick St,Board Of Education Building,1,999999,5
Funaro Rd,Bear Path School,1,999999,8
Furman Rd,Keefe Community Center,1,999999,3
Garfield St,Dunbar Hill School,1,999999,7
Garvin Rd,West Woods School,1,999999,9
Gate Way,West Woods School,1,999999,9
Gaylord Mtn Rd,West Woods School,1,1175,9
George St,Keefe Community Center,1,999999,3
Gessner Pl,Board Of Education Building,1,999999,5
Gilbert Ave,Booker T Washington Academy,1,180,2
Gilbert Ave,Dunbar Hill School,181,999999,7
Giles St,Board Of Education Building,1,999999,5
Gillies Rd,Ridge Hill School,1,999999,6
Glemby St,Keefe Community Center,1,999999,3
Glen Pkwy,Ridge Hill School,1,999999,6
Glen Ridge Rd,Spring Glen School,1,999999,4
Glenbrook Ave,Keefe Community Center,1,999999,3
Glendale St,Board Of Education Building,1,999999,5
Glendower Rd,Spring Glen School,1,999999,4
Glenham Rd,Miller Library,1,999999,1
Goebel Rd,Bear Path School,1,999999,8
Goodrich St,Board Of Education Building,1,59,5
Goodrich St,Board Of Education Building,60,196,5
Goodrich St,Keefe Community Center,197,999999,3
Goodsell Rd,Miller Library,1,999999,1
Gordon St,Spring Glen School,1,999999,4
Gorham Ave,Dunbar Hill School,1,108,7
Gorham Ave,Dunbar Hill School,109,124,7
Gorham Ave,Dunbar Hill School,125,999999,7
Gorham Dr,Dunbar Hill School,1,999999,7
Grafton Rd,Ridge Hill School,1,999999,6
Grandview Ave,Booker T Washington Academy,1,278,2
Grandview Ave,Booker T Washington Academy,280,999998,2
Grandview Ave,Dunbar Hill School,279,999999,7
Greenes Ridge Rd,West Woods School,1,999999,9
Greenhill Rd,Booker T Washington Academy,1,999999,2
Greenway St,Spring Glen School,1,999999,4
Guenevere Ct,West Woods School,1,999999,9
Haig St,Booker T Washington Academy,1,999999,2
Hall St,Board Of Education Building,1,999999,5
Hamden Hls Dr,Spring Glen School,1,999999,4
Hampshire Dr,Miller Library,1,999999,1
Hampton Rd,Miller Library,1,999999,1
Handy Rd,West Woods School,1,999999,9
Harding St,Miller Library,1,999999,1
Harmon St,Spring Glen School,1,999999,4
Harris St,Keefe Community Center,1,999999,3
Harrison Dr,Dunbar Hill School,1,999999,7
Hartford Tpke,Ridge Hill School,81,999999,6
Hartford Tpke,Board Of Education Building,2,80,5
Hartford Tpke,Ridge Hill School,1,79,6
Haverford St,Ridge Hill School,1,999999,6
Hawley Rd,Ridge Hill School,1,999999,6
Hawthorne Ave,Spring Glen School,1,999999,4
Hayward Rd,Booker T Washington Academy,1,999999,2
Haywood Ln,Booker T Washington Academy,2,999998,2
Haywood Ln,Dunbar Hill School,1,999999,7
Hearn Ln,Dunbar Hill School,1,999999,7
Heather Rd,Miller Library,1,999999,1
Heathridge Rd,Dunbar Hill School,1,999999,7
Helen St,Keefe Community Center,2,270,3
Helen St,Booker T Washington Academy,272,999998,2
Helen St,Booker T Washington Academy,1,999999,2
Heloise St,Board Of Education Building,1,999999,5
Hepburn Rd,Ridge Hill School,1,999999,6
Hesse Rd,Ridge Hill School,1,999999,6
Hidden Brook Rd,Bear Path School,1,999999,8
Hideaway Ln,Bear Path School,1,999999,8
High Ln,Ridge Hill School,1,999999,6
High Meadow Rd,Ridge Hill School,1,999999,6
High Ridge Rd,Dunbar Hill School,1,999999,7
High Rock Rd,Bear Path School,1,999999,8
High Top Cir,Keefe Community Center,1,999999,3
High Top Cir E,Keefe Community Center,1,999999,3
High Top Cir W,Keefe Community Center,1,999999,3
High View Ter,Bear Path School,1,999999,8
Highland Ave,Miller Library,1,999999,1
Highland View Ave,Ridge Hill School,1,999999,6
Highwood Ave,Dunbar Hill School,1,999999,7
Hill St,Bear Path School,701,999999,8
Hill St,Dunbar Hill School,2,420,7
Hill St,Dunbar Hill School,422,700,7
Hill St,Bear Path School,1,699,8
Hillcrest Ave,Booker T Washington Academy,1,999999,2
Hillfield Rd,West Woods School,1,999999,9
Hilltop Rd,Bear Path School,1,999999,8
Hillview Ave,Bear Path School,1,999999,8
Hobson Ave,Dunbar Hill School,1,999999,7
Hodder Dr,Dunbar Hill School,1,999999,7
Hogan Rd,Miller Library,2,320,1
Hogan Rd,West Woods School,322,999998,9
Hogan Rd,West Woods School,1,999999,9
Home Pl,Miller Library,1,999999,1
Homelands Ter,Board Of Education Building,2,999998,5
Homelands Ter,Board Of Education Building,1,999999,5
Homestead Ave,Booker T Washington Academy,1,999999,2
Hope Ave,Dunbar Hill School,1,999999,7
Hotchkiss Ln,West Woods School,1,999999,9
Howard Dr,Bear Path School,1,140,8
Howard Dr,Bear Path School,173,226,8
Howard Dr,Bear Path School,142,172,8
Howard Dr,Dunbar Hill School,228,999998,7
Howard Dr,Bear Path School,141,171,8
Howard Dr,Bear Path School,227,999999,8
Howell Ave,Spring Glen School,1,999999,4
Hubbard PI,Ridge Hill School,1,999999,6
Hume Dr,Bear Path School,1,999999,8
Humiston Ave,Spring Glen School,1,999999,4
Hunters Way,Dunbar Hill School,1,999999,7
Hunting Ridge Rd,West Woods School,1,999999,9
Huntington Cir,West Woods School,1,999999,9
Ingleside Dr,Dunbar Hill School,1,999999,7
Ingram St,Spring Glen School,1,999999,4
Ives St,Miller Library,1,999999,1
Jackson Rd,Ridge Hill School,1,999999,6
Jaenicke Ln,Board Of Education Building,1,999999,5
James St,Miller Library,1,999999,1
Jamestown Rd,Spring Glen School,1,999999,4
Jayne Ln,Bear Path School,1,999999,8
Jean St,Ridge Hill School,1,999999,6
Jennifer Rd,Dunbar Hill School,1,999999,7
Jesswig Dr,Ridge Hill School,1,999999,6
Johnson Rd,West Woods School,1,999999,9
Jones Rd,Keefe Community Center,1,999999,3
Joseph Ln,Dunbar Hill School,1,999999,7
Joyce Rd,Bear Path School,1,999999,8
Joyce Rd li,West Woods School,1,999999,9
Julian Dr,West Woods School,1,999999,9
Katherine Dr,Dunbar Hill School,1,999999,7
Kaye Plz,Bear Path School,1,999999,8
Kaye Vue Dr,Bear Path School,1,999999,8
Kelly Rd,West Woods School,1,999999,9
Kenwood Ave,Miller Library,2,999998,1
Kenwood Ave,West Woods School,1,999999,9
Killdeer Rd,Ridge Hill School,1,999999,6
Kimberly Rd,West Woods School,1,999999,9
King St,Board Of Education Building,1,999999,5
Kirk Rd,Bear Path School,1,999999,8
Klarman Dr,Miller Library,1,999999,1
Knob Hill Dr,Miller Library,1,256,1
Knob Hill Dr,Miller Library,258,999998,1
Knob Hill Dr,Spring Glen School,257,999999,4
Knoll Dr,West Woods School,1,999999,9
Laconia St,Keefe Community Center,1,999999,3
Lake Ct,Board Of Education Building,1,999999,5
Lake St,Board Of Education Building,1,999999,5
Lakeview Ave,Booker T Washington Academy,1,75,2
Lakeview Ave,Dunbar Hill School,76,999999,7
Lamkin St,Board Of Education Building,1,999999,5
Lancelot Way,West Woods School,1,999999,9
Lane St,Dunbar Hill School,1,999999,7
Lansdowne Ave,Ridge Hill School,1,999999,6
Larkspur Ln,Dunbar Hill School,1,999999,7
Laura Rd,Bear Path School,1,999999,8
Laurel Rd,Board Of Education Building,1,999999,5
Laurel Wood Ln,West Woods School,1,999999,9
Lawrence Rd,West Woods School,1,999999,9
Leatherman Trl,Bear Path School,1,999999,8
Lee St,Dunbar Hill School,1,999999,7
Leeder Hill Dr,Board Of Education Building,1,999999,5
Lent Rd,Ridge Hill School,1,999999,6
Leo Rd,Ridge Hill School,1,999999,6
Leonard Rd,Dunbar Hill School,1,999999,7
Lexington St,Booker T Washington Academy,1,999999,2
Lilac Ave,Board Of Education Building,1,999999,5
Lillibridge Ct,Ridge Hill School,1,999999,6
Lincoln St,Miller Library,1,999999,1
Linden Ave,Miller Library,1,999999,1
Lloyd St,West Woods School,1,999999,9
Locust St,Spring Glen School,1,999999,4
Loller Rd,Booker T Washington Academy,1,999999,2
London Dr,Ridge Hill School,1,999999,6
Long Meadow Ave,Keefe Community Center,1,999999,3
Lovig Ln,West Woods School,1,999999,9
Lucien Dr,Miller Library,1,999999,1
Lucy St,Booker T Washington Academy,1,999999,2
Luzerne Ave,Miller Library,1,999999,1
Lynmoor PI,Ridge Hill School,1,999999,6
Lynmot Rd,Booker T Washington Academy,1,999999,2
Macarthur Dr,West Woods School,1,999999,9
Magee Dr,Bear Path School,1,999999,8
Maher Ave,Miller Library,1,999999,1
Main St,Dunbar Hill School,1,999999,7
Malcolm St,Dunbar Hill School,1,999999,7
Manila Ave,Booker T Washington Academy,1,999999,2
Manor St,Board Of Education Building,1,999999,5
Mansion Rd,West Woods School,201,239,9
Mansur Rd,Dunbar Hill School,1,999999,7
Maple Crest Ln,Bear Path School,1,999999,8
Maple St,Ridge Hill School,1,999999,6
Maplewood Ter,Dunbar Hill School,1,999999,7
Marietta St,Spring Glen School,1,999999,4
Marion Ave,Miller Library,1,999999,1
Marlboro St,Board Of Education Building,1,50,5
Marlboro St,Keefe Community Center,51,999999,3
Marne St,Booker T Washington Academy,1,999999,2
Marshall Rd,Ridge Hill School,1,999999,6
Martin Ter,Board Of Education Building,1,999999,5
Maryknoll Rd,Booker T Washington Academy,1,999999,2
Mather St,Board Of Education Building,2,380,5
Mather St,Booker T Washington Academy,382,999998,2
Mather St,Board Of Education Building,1,363,5
Mather St,Spring Glen School,365,381,4
Mather St,Dunbar Hill School,383,999999,7
Mattes Rd,Bear Path School,2,40,8
Mattes Rd,Bear Path School,1,39,8
McDermott Cir,West Woods School,1,999999,9
Meadow Rd,Booker T Washington Academy,1,999999,2
Meadowbrook Rd,Ridge Hill School,1,30,6
Megin Dr,Dunbar Hill School,1,999999,7
Melrose Ave,Miller Library,1,999999,1
Melrose Ct,Miller Library,1,999999,1
Melrose Dr,Miller Library,1,999999,1
Merrimac St,Booker T Washington Academy,1,999999,2
Merritt St,Ridge Hill School,1,999999,6
Michael Rd,Keefe Community Center,1,999999,3
Middle Rd,Ridge Hill School,1,999999,6
Midhill Dr,Keefe Community Center,1,999999,3
Midwood Ct,West Woods School,1,999999,9
Miles St,Dunbar Hill School,1,999999,7
Mill Rock Rd,Board Of Education Building,1,120,5
Mill Rock Rd,Board Of Education Building,122,230,5
Mill Rock Rd,Board Of Education Building,232,999998,5
Mill Rock Rd,Board Of Education Building,121,999999,5
Millis St,Booker T Washington Academy,1,999999,2
Millpond Rd,Bear Path School,1,999999,8
Misty Meadow Ln,West Woods School,1,999999,9
Mix Ave,Bear Path School,900,999999,8
Mix Ave,Dunbar Hill School,2,690,7
Mix Ave,Bear Path School,692,898,8
Mix Ave,Bear Path School,1,899,8
Monroe St,Miller Library,1,999999,1
Monterey Ave,Miller Library,1,999999,1
Morgan Ln,Dunbar Hill School,1,999999,7
Morningview Ct,West Woods School,1,999999,9
Morris St,Board Of Education Building,40,999999,5
Morris St,Board Of Education Building,2,38,5
Morris St,Board Of Education Building,1,35,5
Morse St,Board Of Education Building,82,200,5
Morse St,Keefe Community Center,201,999999,3
Morse St,Board Of Education Building,2,66,5
Morse St,Board Of Education Building,1,79,5
Mott St,Keefe Community Center,1,999999,3
Moulton St,Board Of Education Building,1,999999,5
Mountain Rd,Dunbar Hill School,1,999999,7
Mt Carmel Ave,West Woods School,1,99999,9
Mt Sanford Rd,West Woods School,70,400,9
Mueller Dr,Dunbar Hill School,1,999999,7
Mulberry Hill St,Ridge Hill School,1,999999,6
Murlyn Rd,Miller Library,1,999999,1
Murray St,Keefe Community Center,1,999999,3
Myra Rd,Ridge Hill School,1,999999,6
N Lake Dr,Board Of Education Building,1,999999,5
N Sheffield St,Board Of Education Building,1,999999,5
N Woods Rd,West Woods School,1,999999,9
Nature Trl,West Woods School,1,999999,9
New Rd,Miller Library,1,499,1
