STREET NAME,POLLING PLACE,RANGE
Klarman Dr,Miller Library,1-999999
Knob Hill Dr,Miller Library,1-256
Knob Hill Dr,Miller Library,258-999998
Knob Hill Dr,Spring Glen School,257-999999
Knoll Dr,West Woods School,1-999999
Laconia St,Keefe Community Center,1-999999
Lake Ct,Board Of Education Building,1-999999
Lake St,Board Of Education Building,1-999999
Lakeview Ave,Booker T Washington Academy,1-75
Lakeview Ave,Dunbar Hill School,76-999999
Lamkin St,Board Of Education Building,1-999999
Lancelot Way,West Woods School,1-999999
Lane St,Dunbar Hill School,1-999999
Lansdowne Ave,Ridge Hill School,1-999999
Larkspur Ln,Dunbar Hill School,1-999999
Laura Rd,Bear Path School,1-999999
Laurel Rd,Board Of Education Building,1-999999
Laurel Wood Ln,West Woods School,1-999999
Lawrence Rd,West Woods School,1-999999
Leatherman Trl,Bear Path School,1-999999
Lee St,Dunbar Hill School,1-999999
Leeder Hill Dr,Board Of Education Building,1-999999
Lent Rd,Ridge Hill School,1-999999
Leo Rd,Ridge Hill School,1-999999
Leonard Rd,Dunbar Hill School,1-999999
Lexington St,Booker T Washington Academy,1-999999
Lilac Ave,Board Of Education Building,1-999999
Lillibridge Ct,Ridge Hill School,1-999999
Lincoln St,Miller Library,1-999999
Linden Ave,Miller Library,1-999999
Lloyd St,West Woods School,1-999999
Locust St,Spring Glen School,1-999999
Loller Rd,Booker T Washington Academy,1-999999
London Dr,Ridge Hill School,1-999999
Long Meadow Ave,Keefe Community Center,1-999999
Lovig Ln,West Woods School,1-999999
Lucien Dr,Miller Library,1-999999
Lucy St,Booker T Washington Academy,1-999999
Luzerne Ave,Miller Library,1-999999
Lynmoor PI,Ridge Hill School,1-999999
Lynmot Rd,Booker T Washington Academy,1-999999
Macarthur Dr,West Woods School,1-999999
Magee Dr,Bear Path School,1-999999
Maher Ave,Miller Library,1-999999
Main St,Dunbar Hill School,1-999999
Malcolm St,Dunbar Hill School,1-999999
Manila Ave,Booker T Washington Academy,1-999999
Manor St,Board Of Education Building,1-999999
Mansion Rd,West Woods School,201-239
Mansur Rd,Dunbar Hill School,1-999999
Maple Crest Ln,Bear Path School,1-999999
Maple St,Ridge Hill School,1-999999
Maplewood Ter,Dunbar Hill School,1-999999
Marietta St,Spring Glen School,1-999999
Marion Ave,Miller Library,1-999999
Marlboro St,Board Of Education Building,1-50
Marlboro St,Keefe Community Center,51-999999
Marne St,Booker T Washington Academy,1-999999
Marshall Rd,Ridge Hill School,1-999999
Martin Ter,Board Of Education Building,1-999999
Maryknoll Rd,Booker T Washington Academy,1-999999
Mather St,Board Of Education Building,2-380
Mather St,Booker T Washington Academy,382-999998
Mather St,Board Of Education Building,1-363
Mather St,Spring Glen School,365-381
Mather St,Dunbar Hill School,383-999999
Mattes Rd,Bear Path School,2-40
Mattes Rd,Bear Path School,1-39
McDermott Cir,West Woods School,1-999999
Meadow Rd,Booker T Washington Academy,1-999999
Meadowbrook Rd,Ridge Hill School,1-30
Megin Dr,Dunbar Hill School,1-999999
Melrose Ave,Miller Library,1-999999
Melrose Ct,Miller Library,1-999999
Melrose Dr,Miller Library,1-999999
